"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",48.537082,-18.966619,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.560794,-18.991234,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.437102,-18.881033,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.560108,-18.901128,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",49.382353,-18.790612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"background",48.448652,-18.872798,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.454637,-18.927041,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.517768,-18.924037,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.4142,-18.931788,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.411749,-18.907969,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.572689,-18.906723,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.534384,-18.924132,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.510055,-18.879631,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.428021,-18.928072,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.536111,-18.955021,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.475683,-18.903881,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.567646,-18.819651,21.0135097503662,10.3482294082642,62.6889991760254,260.260040283203,28.7967491149902,12.2895002365112,16.5072479248047,23.771333694458,18.775333404541,23.771333694458,17.5854587554932,2312,387,67,64.6151351928711,1142,258,1142,313
"background",48.460822,-18.90114,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.542652,-18.849366,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.532651,-18.951796,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.4929,-18.97762,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.537955,-18.971505,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.583256,-18.962873,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.448402,-18.88174,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.571309,-18.876328,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.401112,-18.93731,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.56194,-18.871437,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.570039,-18.994064,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.431481,-18.937238,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",49.293423,-18.42457,23.6148090362549,8.57056331634521,61.6563262939453,220.367599487305,30.3975677490234,16.4970264434814,13.900541305542,26.1346855163574,22.8669376373291,26.1346855163574,20.8666210174561,2583,397,87,45.2514343261719,1064,327,1064,443
"background",48.416554,-18.945849,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.457014,-18.938493,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.424403,-19.092269,19.1501560211182,10.2908954620361,63.401741027832,263.652587890625,27.089750289917,10.8584995269775,16.2312507629395,22.0004177093506,16.9162921905518,22.0004177093506,15.8204584121704,1980,341,54,67.9133834838867,967,198,967,274
"background",48.585053,-18.88401,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.420172,-18.808492,19.4032402038574,10.5107707977295,62.1488609313965,274.772277832031,27.3540000915527,10.4417495727539,16.9122505187988,22.2235832214355,17.1151657104492,22.2235832214355,15.7235412597656,1718,317,46,75.4629440307617,887,157,887,181
"background",48.532431,-18.802377,21.0135097503662,10.3482294082642,62.6889991760254,260.260040283203,28.7967491149902,12.2895002365112,16.5072479248047,23.771333694458,18.775333404541,23.771333694458,17.5854587554932,2312,387,67,64.6151351928711,1142,258,1142,313
"background",48.56588,-18.843113,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.413196,-18.983129,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.463246,-18.983382,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.565339,-18.945058,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.409955,-18.917269,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.544081,-18.897935,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.58201,-18.815017,21.0135097503662,10.3482294082642,62.6889991760254,260.260040283203,28.7967491149902,12.2895002365112,16.5072479248047,23.771333694458,18.775333404541,23.771333694458,17.5854587554932,2312,387,67,64.6151351928711,1142,258,1142,313
"background",48.530943,-18.935343,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",49.302599,-18.6751,23.806547164917,8.34642887115479,61.3627395629883,216.953216552734,30.3732147216797,16.7714290618896,13.60178565979,26.2919635772705,23.0672626495361,26.2919635772705,21.1059532165527,2688,467,72,50.6592216491699,1164,307,1164,468
"background",48.588603,-18.801898,21.0135097503662,10.3482294082642,62.6889991760254,260.260040283203,28.7967491149902,12.2895002365112,16.5072479248047,23.771333694458,18.775333404541,23.771333694458,17.5854587554932,2312,387,67,64.6151351928711,1142,258,1142,313
"background",48.591409,-18.869273,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.411346,-18.907613,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.438987,-18.968108,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.482827,-18.859774,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.577109,-18.841739,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.509792,-18.990969,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.533133,-18.955807,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.437442,-18.869639,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.567413,-18.886176,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.538884,-18.990627,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.598999,-18.857904,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.50963,-18.915265,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.476479,-18.874077,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.406685,-19.051917,19.1501560211182,10.2908954620361,63.401741027832,263.652587890625,27.089750289917,10.8584995269775,16.2312507629395,22.0004177093506,16.9162921905518,22.0004177093506,15.8204584121704,1980,341,54,67.9133834838867,967,198,967,274
"background",48.485642,-18.881033,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.431831,-18.846186,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.545512,-18.910494,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.502276,-18.958052,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.435271,-18.865019,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.471399,-18.862725,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.466059,-18.925335,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.560122,-18.924801,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.566061,-18.903537,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.483144,-18.969071,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.569093,-18.992118,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.580613,-18.952428,21.0634384155273,10.3508338928223,64.0204925537109,254.792343139648,28.8147506713867,12.6467504501343,16.1679992675781,23.8165416717529,18.8640422821045,23.8165416717529,17.7918758392334,2578,430,74,61.3506774902344,1242,303,1242,372
"background",48.478904,-18.844585,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.480835,-18.884849,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
"background",48.482867,-18.991181,19.15012550354,10.6996669769287,64.2545394897461,267.000823974609,27.2245006561279,10.5725002288818,16.6520004272461,21.9760837554932,16.9418754577637,21.9761657714844,15.7165412902832,1814,325,51,71.144889831543,911,178,907,238
